1,943,1971,0,7200,82
2,1986,1160,0,7200,71
3,1760,3421,0,7200,75
4,565,1073,0,7200,81
5,895,1027,0,7200,68
6,2147,2997,0,7200,63
7,1774,2156,0,7200,81
8,2560,252,0,7200,95
9,464,286,0,7200,71
10,2208,704,0,7200,94
11,31,158,0,7200,99
12,1953,3298,0,7200,81
13,1820,574,0,7200,77
14,643,2983,0,7200,92
15,1182,948,0,7200,77
16,576,3532,0,7200,69
17,2083,103,0,7200,73
18,1484,1403,0,7200,86
19,3033,259,0,7200,83
20,1004,424,0,7200,67
21,2841,1502,0,7200,83
22,1127,1901,0,7200,74
23,2079,2560,0,7200,95
24,601,2974,0,7200,96
25,3381,1584,0,7200,75
26,2004,3362,0,7200,92
27,2675,397,0,7200,90
28,2756,2085,0,7200,94
29,1036,989,0,7200,80
30,2117,1194,0,7200,83
31,3450,3027,0,7200,75
32,2011,289,0,7200,97
33,675,2905,0,7200,76
34,3177,1610,0,7200,86
35,2437,1999,0,7200,75
36,194,2072,0,7200,67
37,3309,2972,0,7200,84
38,3418,2382,0,7200,85
39,3489,1743,0,7200,90
40,1329,2582,0,7200,60
41,1981,435,0,7200,70
42,2775,556,0,7200,94
43,1804,1578,0,7200,83
44,2629,225,0,7200,96
45,1042,3235,0,7200,73
46,2514,2534,0,7200,68
47,1482,2634,0,7200,82
48,508,3059,0,7200,83
49,1786,213,0,7200,89
50,3293,1474,0,7200,76
51,2140,1755,0,7200,100
52,2762,74,0,7200,72
53,584,2894,0,7200,83
54,1040,1315,0,7200,78
55,366,3441,0,7200,98
56,785,2152,0,7200,67
57,2396,2038,0,7200,82
58,1819,637,0,7200,77
59,1757,2503,0,7200,87
60,3518,352,0,7200,66
61,2971,2386,0,7200,90
62,2497,1155,0,7200,85
63,945,1899,0,7200,98
64,1559,2815,0,7200,65
65,403,3465,0,7200,99
66,396,2786,0,7200,81
67,2188,2600,0,7200,86
68,2927,1431,0,7200,86
69,3517,1128,0,7200,81
70,2291,3389,0,7200,65
71,594,84,0,7200,75
72,2085,1251,0,7200,99
73,511,2137,0,7200,79
74,2037,1870,0,7200,72
75,2039,600,0,7200,62
76,3050,2621,0,7200,92
77,2312,2510,0,7200,87
78,882,3209,0,7200,69
79,3162,3424,0,7200,79
80,2502,2482,0,7200,82
81,3508,325,0,7200,99
82,2691,1477,0,7200,72
83,2965,3456,0,7200,64
84,2972,2848,0,7200,68
85,2010,1582,0,7200,68
86,1956,1693,0,7200,75
87,795,1529,0,7200,64
88,1020,65,0,7200,72
89,1766,624,0,7200,82
90,171,3374,0,7200,99
91,2530,782,0,7200,98
92,128,758,0,7200,81
93,170,1078,0,7200,90
94,329,1232,0,7200,77
95,321,3035,0,7200,84
96,514,2215,0,7200,60
97,2017,1146,0,7200,86
98,1191,1587,0,7200,81
99,2139,3546,0,7200,78
100,2485,1664,0,7200,79
101,1399,2321,0,7200,79
102,3460,1885,0,7200,77
103,944,1918,0,7200,90
104,920,638,0,7200,90
105,2638,3188,0,7200,94
106,2025,721,0,7200,65
107,507,1039,0,7200,70
108,3421,944,0,7200,94
109,494,1686,0,7200,73
110,3245,2237,0,7200,70
111,1863,942,0,7200,100
112,753,3369,0,7200,83
113,726,469,0,7200,92
114,879,2192,0,7200,75
115,1873,158,0,7200,85
116,2246,1793,0,7200,100
117,2117,3306,0,7200,97
118,2474,1642,0,7200,84
119,1852,209,0,7200,94
120,562,776,0,7200,80
121,3031,577,0,7200,81
122,1428,1023,0,7200,75
123,2192,1912,0,7200,95
124,32,1766,0,7200,100
125,3241,1203,0,7200,67
126,1535,3046,0,7200,65
127,443,1415,0,7200,92
128,1696,3175,0,7200,62
129,14,5,0,7200,70
130,847,1435,0,7200,74
131,2926,1386,0,7200,92
